Item,"Respuesta Correcta"
Item01,"Detección de fraude con tarjetas de crédito"
Item02,"Haz un comentario irónico porque esto es mejor comprendido por los humanos."
Item03,"Sistemas de gestión de inventario"
Item04,"Procesamiento del Lenguaje Natural"
Item05,"La IA actúa racionalmente para lograr un objetivo específico lo mejor posible."
Item06,"Han sido programados para tratar de alcanzar un objetivo dado lo mejor posible."
Item07,"La IA fuerte no existe en este momento."
Item08,"Resolver una amplia gama de tareas."
Item09,"Detectar tumores"
Item10,"Encontrar una prueba para un teorema matemático."
Item11,"Información sobre el mundo que puede ser procesada por una computadora."
Item12,"Imagen -> Video"
Item13,"Basadas en principios matemático-lógicos."
Item14,"Puede predecir los valores de salida de los datos de prueba lo mejor posible."
Item15,"En el aprendizaje supervisado, se conocen los valores de salida de los datos de entrenamiento."
Item16,"El desarrollo del aprendizaje automático es en parte un proceso iterativo."
Item17,"34125"
Item18,"Los datos deben dividirse al azar en conjuntos de datos de entrenamiento y prueba."
Item19,"Selección del modelo."
Item20,"Los humanos pueden influir en el resultado durante el desarrollo en varios pasos del proceso."
Item21,"Los sistemas de IA persiguen un objetivo dado por los humanos."
Item22,"Comunicar resultados."
Item23,"Pueden sacar conclusiones a partir de grandes cantidades de datos y mejorar así su modelo."
Item24,"Los datos de cada usuario al usar el servicio."
Item25,"Los datos de entrenamiento de los perros no fueron representativos de todas las razas de perros."
Item26,"Prevención de daños, transparencia, equidad."
Item27,"A menudo es difícil determinar cómo la IA toma decisiones."
Item28,"Reemplazo de la fuerza laboral humana por la IA."
Item29,"Socavamiento de la autoridad de los oficiales de policía."
Item30,"Control limitado de la IA debido a su autonomía."
